iter	Logloss
0	0.6799521735
1	0.6678978841
2	0.6549778889
3	0.6433035793
4	0.6318193613
5	0.6208630947
6	0.6102857039
7	0.5997980387
8	0.5898837364
9	0.5796651888
10	0.5695091994
11	0.5599551245
12	0.5516763847
13	0.5431096143
14	0.5341090005
15	0.5259861442
16	0.5176228158
17	0.5093599995
18	0.501458844
19	0.4939767259
20	0.4872686797
21	0.4795697951
22	0.4729744992
23	0.4663814629
24	0.4602172425
25	0.4541446505
26	0.4482162079
27	0.4420407073
28	0.4356102695
29	0.4301346049
30	0.424721504
31	0.4192602348
32	0.4142848337
33	0.4093942017
34	0.4043311256
35	0.3998935036
36	0.3954906278
37	0.3912028459
38	0.3870070484
39	0.3828904891
40	0.378266551
41	0.3743736793
42	0.3701715603
43	0.3667855358
44	0.3626445856
45	0.359373117
46	0.3560836884
47	0.3524617693
48	0.3486310967
49	0.3455117956
50	0.3424119168
51	0.3390534367
52	0.3364594818
53	0.3330038053
54	0.3305358171
55	0.3280644831
56	0.3254170333
57	0.3226354035
58	0.3205662127
59	0.318065631
60	0.3158310301
61	0.313527629
62	0.3113279598
63	0.3089588104
64	0.3062961625
65	0.304416153
66	0.3021130368
67	0.3003897051
68	0.2985321871
69	0.2962936148
70	0.2938015394
71	0.2918288837
72	0.2900466266
73	0.2883139513
74	0.2864725767
75	0.2847713124
76	0.2832807668
77	0.2818072258
78	0.2801551034
79	0.2787076965
80	0.2773982861
81	0.276116351
82	0.2746354565
83	0.2732244343
84	0.2719971528
85	0.2704906975
86	0.2691208362
87	0.267616717
88	0.2659533882
89	0.2645682757
90	0.2631889461
91	0.2620195802
92	0.2609658281
93	0.2597317958
94	0.2585291781
95	0.257199126
96	0.2559844397
97	0.2545597503
98	0.2532947252
99	0.2521819966
100	0.2509337981
101	0.2499174742
102	0.2491222737
103	0.2479434404
104	0.2467895395
105	0.2458278595
106	0.2445061677
107	0.2430398288
108	0.2422750427
109	0.2413539268
110	0.240403645
111	0.2395600373
112	0.2387239436
113	0.237588398
114	0.2368676848
115	0.2361289174
116	0.2350563913
117	0.2343779284
118	0.233518839
119	0.2323739548
120	0.2314916592
121	0.2308821807
122	0.2299067385
123	0.2291925434
124	0.2281457591
125	0.22735717
126	0.2263895116
127	0.2257310525
128	0.2245167126
129	0.2238694383
130	0.2231035886
131	0.2221189584
132	0.2215172209
133	0.2209246376
134	0.2201412112
135	0.2194694656
136	0.2189565453
137	0.218207513
138	0.217639463
139	0.2170065849
140	0.2164494653
141	0.2157918347
142	0.2150180535
143	0.214504621
144	0.2137301702
145	0.2128261509
146	0.2123512477
147	0.2117083396
148	0.2109816884
149	0.2103500664
150	0.20987757
151	0.2090469521
152	0.2083933862
153	0.2079714146
154	0.2072492011
155	0.2068083037
156	0.2062937398
157	0.2056273732
158	0.205113605
159	0.2042905728
160	0.2036774354
161	0.2030086043
162	0.2025354206
163	0.2021418361
164	0.2017187954
165	0.2012275434
166	0.2008238872
167	0.2003042898
168	0.199921391
169	0.1995768603
170	0.1992533357
171	0.1988443847
172	0.198382174
173	0.1979701694
174	0.1975434607
175	0.1971092043
176	0.1967406221
177	0.196109562
178	0.1957547759
179	0.1953452646
180	0.1948381465
181	0.1944733229
182	0.1940259765
183	0.1936715675
184	0.1932965734
185	0.1928547255
186	0.192541242
187	0.1921084583
188	0.191840224
189	0.1914864496
190	0.1910347753
191	0.1906625945
192	0.1903622507
193	0.1900425129
194	0.1896667689
195	0.1893612466
196	0.188908496
197	0.1885608377
198	0.1881902526
199	0.1879036174
200	0.1876086731
201	0.1872150907
202	0.1868948576
203	0.1866087101
204	0.1863031875
205	0.1860650563
206	0.1858237532
207	0.1855545251
208	0.1852888683
209	0.1850133597
210	0.1847849157
211	0.1844538198
212	0.1842276529
213	0.1839262199
214	0.183696915
215	0.1834487246
216	0.1830994384
217	0.1828333578
218	0.1825804893
219	0.182278059
220	0.1820216683
221	0.1817354483
222	0.1814473039
223	0.1811806863
224	0.1809167076
225	0.1806191961
226	0.1803544339
227	0.1800587922
228	0.1798225527
229	0.179564614
230	0.1793479572
231	0.179082492
232	0.1787135137
233	0.1782957871
234	0.1781030569
235	0.1778914891
236	0.1776343637
237	0.1773599347
238	0.1771190367
239	0.176883826
240	0.1765458466
241	0.176270883
242	0.1759385742
243	0.1756557162
244	0.1754262518
245	0.1751774029
246	0.1749335131
247	0.1746862631
248	0.1744756919
249	0.1742783432
250	0.1740534466
251	0.173785079
252	0.173595132
253	0.1734322794
254	0.1731836299
255	0.172929388
256	0.1726864636
257	0.1724618828
258	0.1722518204
259	0.1720510439
260	0.1718736461
261	0.1714939835
262	0.1712948442
263	0.1710681054
264	0.1708526086
265	0.1705799142
266	0.1703828531
267	0.1702057053
268	0.1700140883
269	0.1698014972
270	0.1696143727
271	0.1693788323
272	0.1691747556
273	0.1689502023
274	0.168748265
275	0.168636237
276	0.1683331735
277	0.1681685209
278	0.1679204072
279	0.1677133228
280	0.1674537456
281	0.167182795
282	0.1669860428
283	0.1667646409
284	0.166531866
285	0.1663011102
286	0.1660535554
287	0.1658523159
288	0.1655894512
289	0.1653543899
290	0.165110757
291	0.1649193425
292	0.164701473
293	0.1644521917
294	0.1643036993
295	0.1641446497
296	0.1639555089
297	0.163699266
298	0.1634839656
299	0.1631958475
